Name complex,Geo,State of house,Rooms amount,"Squares,м²",Metro,"Time to metro,мин.","Price,₽",Data
ЖК «Аэросити Family (Аэросити Фэмили)»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, просп. Старорусский, 3к3",Новостройка,Студия,"24,95 ",Купчино,7 ,3 867 250 ,11.10
ЖК «Новое Колпино»,"Санкт-Петербург, р-н Колпинский, мкр. Колпино, Новое Колпино жилой комплекс, к34",Новостройка,Студия,"24,29 ",Рыбацкое,15 ,3 930 664 ,15.10
ЖК «Монография»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Монография жилой комплекс",Новостройка,Студия,"24,1 ",Звездная,10 ,3 911 009 ,12.10
ЖК «UP-квартал Новый Московский»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Ап-квартал Новый Московский жилой комплекс",Новостройка,Студия,"30,3 ",Шушары,16 ,3 945 666 ,12.10
ЖК «Полет»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Московское ш., 262к4",Новостройка,Студия,"32,6 ",Шушары,16 ,3 947 000 ,06.10
ЖК «Аэросити Family (Аэросити Фэмили)»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, просп. Старорусский, 3к3",Новостройка,Студия,"24,07 ",Купчино,7 ,3 971 550 ,10.10
ЖК «Монография»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Монография жилой комплекс",Новостройка,Студия,"24,5 ",Звездная,10 ,3 975 922 ,12.10
ЖК «Аэросити Family (Аэросити Фэмили)»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, просп. Старорусский, 3к3",Новостройка,Студия,"25,65 ",Купчино,7 ,3 975 750 ,10.10
ЖК «Granholm Village (Гранхолм Вилладж)»,"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, ул. Строителей, 3к2",Новостройка,Студия,"24,8 ",,,3 968 000 ,11.09
ЖК «Аэросити 3»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Аэросити 3 жилой комплекс",Новостройка,Студия,"21,84 ",Купчино,7 ,4 040 400 ,10.10
ЖК «Аэросити 4»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Жилой Аэросити 4 квартал",Новостройка,Студия,"27,8 ",Купчино,7 ,4 058 800 ,11.10
ЖК «Аэросити 3»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Аэросити 3 жилой комплекс",Новостройка,Студия,"22,57 ",Купчино,7 ,4 062 600 ,10.10
ЖК «ЮгТаун. Олимпийские кварталы»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, ЮгТаун жилой комплекс",Новостройка,Студия,"24,43 ",Звездная,14 ,4 083 576 ,13.10
ЖК «UP-квартал Новый Московский»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Ап-квартал Новый Московский жилой комплекс",Новостройка,1-комн. квартира,"29,75 ",Шушары,16 ,4 137 035 ,10.10
ЖК «Granholm Village (Гранхолм Вилладж)»,"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, ул. Строителей, 3к2",Новостройка,Студия,"25,9 ",,,4 144 000 ,11.09
ЖК «Аквилон All In 3.0»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары",Новостройка,Студия,"24,49 ",Купчино,3 ,4 165 380 ,11.10
ЖК «Аквилон All In 3.0»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары",Новостройка,Студия,"24,99 ",Купчино,3 ,4 162 084 ,13.10
ЖК «Zoom на Неве (Зум на Неве)»,"Санкт-Петербург, р-н Невский, Невский, Зум на Неве жилой комплекс",Новостройка Апартаменты,Апартаменты-студия,"25,79 ",Елизаровская,17 ,4 155 439 ,11.10
ЖК «Аэросити Club (Аэросити Клаб)»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Аэросити Клаб жилой комплекс",Новостройка,1-комн. квартира,"29,46 ",Звездная,10 ,4 242 240 ,11.10
ЖК «Полет»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Полет жилой комплекс",Новостройка,1-комн. квартира,"33,84 ",Шушары,12 ,4 231 160 ,14.10
ЖК «Univer City. Город возможностей»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Детскосельский территория, ш. Колпинское, 127",Новостройка,Студия,"20,9 ",Шушары,17 ,4 200 001 ,14.10
ЖК «Zoom на Неве (Зум на Неве)»,"Санкт-Петербург, р-н Невский, Невский, Зум на Неве жилой комплекс",Новостройка Апартаменты,Апартаменты-студия,"25,38 ",Елизаровская,17 ,4 240 388 ,13.10
